Core	CPU	C1%	C3%	C6%	C8%	C9%
2	6	0.00	0.00	1.15	1.18	0.00
3	3	0.01	1.59	0.13	0.00	1.00
3	7	0.00	0.00	0.29	1.87	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.44	0.82	0.00
0	0	0.00	0.00	0.44	0.89	0.00
0	4	0.00	0.03	0.61	0.99	0.00
1	1	0.00	0.00	0.60	0.58	0.00
1	5	0.00	0.00	0.57	0.59	0.00
2	2	0.00	0.00	0.43	0.89	0.00
2	6	0.00	0.00	0.24	0.88	0.00
3	3	0.00	0.00	0.29	0.89	0.00
3	7	0.00	0.00	0.36	0.82	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.43	0.85	0.00
0	0	0.00	0.00	0.14	0.49	0.00
0	4	0.00	0.00	1.19	0.90	0.00
1	1	0.00	0.00	0.53	0.79	0.00
1	5	0.00	0.01	0.29	1.39	0.00
2	2	0.00	0.00	0.29	0.80	0.00
2	6	0.00	0.00	0.28	0.99	0.00
3	3	0.00	0.00	0.36	0.79	0.00
3	7	0.00	0.01	0.33	0.65	0.00
Core	CPU	C1%	C3%	C6%	C8%	C9%
-	-	0.00	0.00	0.38	0.93	0.00
0	0	0.00	0.00	0.27	0.79	0.00
0	4	0.00	0.01	0.56	0.78	0.00
1	1	0.00	0.00	0.41	1.10	0.00
1	5	0.00	0.00	0.10	0.99	0.00
2	2	0.00	0.00	0.36	0.99	0.00
2	6	0.00	0.00	0.36	0.99	0.00
3	3	0.00	0.00	0.13	0.99	0.00
3	7	0.00	0.00	0.87	0.80	0.00
